,2013_01_01_NDVI,2013_01_17_NDVI,2013_02_02_NDVI,2013_02_18_NDVI,2013_03_06_NDVI,2013_03_22_NDVI,2013_04_07_NDVI,2013_04_23_NDVI,2013_05_09_NDVI,2013_05_25_NDVI,2013_06_10_NDVI,2013_06_26_NDVI,2013_07_12_NDVI,2013_07_28_NDVI,2013_08_13_NDVI,2013_08_29_NDVI,2013_09_14_NDVI,2013_09_30_NDVI,2013_10_16_NDVI,2013_11_01_NDVI,2013_11_17_NDVI,2013_12_03_NDVI,2013_12_19_NDVI,2014_01_01_NDVI,2014_01_17_NDVI,2014_02_02_NDVI,2014_02_18_NDVI,2014_03_06_NDVI,2014_03_22_NDVI,2014_04_07_NDVI,2014_04_23_NDVI,2014_05_09_NDVI,2014_05_25_NDVI,2014_06_10_NDVI,2014_06_26_NDVI,2014_07_12_NDVI,2014_07_28_NDVI,2014_08_13_NDVI,2014_08_29_NDVI,2014_09_14_NDVI,2014_09_30_NDVI,2014_10_16_NDVI,2014_11_01_NDVI,2014_11_17_NDVI,2014_12_03_NDVI,2014_12_19_NDVI,2015_01_01_NDVI,2015_01_17_NDVI,2015_02_02_NDVI,2015_02_18_NDVI,2015_03_06_NDVI,2015_03_22_NDVI,2015_04_07_NDVI,2015_04_23_NDVI,2015_05_09_NDVI,2015_05_25_NDVI,2015_06_10_NDVI,2015_06_26_NDVI,2015_07_12_NDVI,2015_07_28_NDVI,2015_08_13_NDVI,2015_08_29_NDVI,2015_09_14_NDVI,2015_09_30_NDVI,2015_10_16_NDVI,2015_11_01_NDVI,2015_11_17_NDVI,2015_12_03_NDVI,2015_12_19_NDVI,2016_01_01_NDVI,2016_01_17_NDVI,2016_02_02_NDVI,2016_02_18_NDVI,2016_03_05_NDVI,2016_03_21_NDVI,2016_04_06_NDVI,2016_04_22_NDVI,2016_05_08_NDVI,2016_05_24_NDVI,2016_06_09_NDVI,2016_06_25_NDVI,2016_07_11_NDVI,2016_07_27_NDVI,2016_08_12_NDVI,2016_08_28_NDVI,2016_09_13_NDVI,2016_09_29_NDVI,2016_10_15_NDVI,2016_10_31_NDVI,2016_11_16_NDVI,2016_12_02_NDVI,2016_12_18_NDVI,2017_01_01_NDVI,2017_01_17_NDVI,2017_02_02_NDVI,2017_02_18_NDVI,2017_03_06_NDVI,2017_03_22_NDVI,2017_04_07_NDVI,2017_04_23_NDVI,2017_05_09_NDVI,2017_05_25_NDVI,2017_06_10_NDVI,2017_06_26_NDVI,2017_07_12_NDVI,2017_07_28_NDVI,2017_08_13_NDVI,2017_08_29_NDVI,2017_09_14_NDVI,2017_09_30_NDVI,2017_10_16_NDVI,2017_11_01_NDVI,2017_11_17_NDVI,2017_12_03_NDVI,2017_12_19_NDVI,2018_01_01_NDVI,2018_01_17_NDVI,2018_02_02_NDVI,2018_02_18_NDVI,2018_03_06_NDVI,2018_03_22_NDVI,2018_04_07_NDVI,2018_04_23_NDVI,2018_05_09_NDVI,2018_05_25_NDVI,2018_06_10_NDVI,2018_06_26_NDVI,2018_07_12_NDVI,2018_07_28_NDVI,2018_08_13_NDVI,2018_08_29_NDVI,2018_09_14_NDVI,2018_09_30_NDVI,2018_10_16_NDVI,2018_11_01_NDVI,2018_11_17_NDVI,2018_12_03_NDVI,2018_12_19_NDVI,2019_01_01_NDVI,2019_01_17_NDVI,2019_02_02_NDVI,2019_02_18_NDVI,2019_03_06_NDVI,2019_03_22_NDVI,2019_04_07_NDVI,2019_04_23_NDVI,2019_05_09_NDVI,2019_05_25_NDVI,2019_06_10_NDVI,2019_06_26_NDVI,2019_07_12_NDVI,2019_07_28_NDVI,2019_08_13_NDVI,2019_08_29_NDVI,2019_09_14_NDVI,2019_09_30_NDVI,2019_10_16_NDVI,2019_11_01_NDVI,2019_11_17_NDVI,2019_12_03_NDVI,2019_12_19_NDVI,2020_01_01_NDVI,2020_01_17_NDVI,2020_02_02_NDVI,2020_02_18_NDVI,2020_03_05_NDVI,2020_03_21_NDVI,2020_04_06_NDVI,2020_04_22_NDVI,2020_05_08_NDVI,2020_05_24_NDVI,2020_06_09_NDVI,2020_06_25_NDVI,2020_07_11_NDVI,2020_07_27_NDVI,2020_08_12_NDVI,2020_08_28_NDVI,2020_09_13_NDVI,2020_09_29_NDVI,2020_10_15_NDVI,2020_10_31_NDVI,2020_11_16_NDVI,2020_12_02_NDVI,2020_12_18_NDVI,2021_01_01_NDVI,2021_01_17_NDVI,2021_02_02_NDVI,2021_02_18_NDVI,2021_03_06_NDVI,2021_03_22_NDVI,2021_04_07_NDVI,2021_04_23_NDVI,2021_05_09_NDVI,2021_05_25_NDVI,2021_06_10_NDVI,2021_06_26_NDVI,system:index
0,0.462375,0.71275,0.806125,0.865,0.7285,0.690875,0.54675,0.52,0.69325,0.788875,0.826,0.797375,0.61725,0.1885,0.2585,0.486875,0.934375,0.9795,0.96225,0.732375,0.60325,0.51325,0.665125,0.747125,0.870625,0.915125,0.889,0.630625,0.607375,0.484625,0.603375,0.625,0.827875,0.7515,0.734125,0.739375,0.5785,0.5085,0.66325,0.916375,0.927875,0.865125,0.861375,0.56875,0.5275,0.5825,0.65975,0.82775,0.871875,0.817625,0.86725,0.6115,0.583,0.6275,0.701875,0.677375,0.942125,0.396,0.861,0.724625,0.16775,0.695625,0.899,0.992625,0.932375,0.849625,0.618875,0.544125,0.548625,0.722,0.73225,0.851875,0.876,0.64625,0.597125,0.572,0.512125,0.642875,0.68975,0.867,0.428125,0.840625,0.458875,0.18,0.3175,0.935,0.9755,1.00125,0.7765,0.60375,0.590125,0.510875,0.767,0.89975,0.941375,0.89225,0.67775,0.61475,0.525625,0.579625,0.7235,0.85225,0.90125,0.553125,0.25625,0.38225,0.377,0.868375,0.953625,1.045125,0.940875,0.779875,0.5495,0.589,0.62175,0.62175,0.683125,0.936125,0.840375,0.863375,0.74575,0.673625,0.6525,0.626375,0.92275,0.648625,0.86125,0.7675,0.5425,0.51875,0.52175,0.76825,0.926125,0.923125,0.87075,0.672,0.52725,0.658875,0.68425,0.8625,0.92275,0.92325,0.8415,0.6695,0.721875,0.695,0.5135,0.692625,0.7635,0.740125,0.621375,0.68075,0.3725,0.484875,0.88775,1.012,0.982875,0.85625,0.629,0.5475,0.6335,0.768625,0.822125,0.92375,0.93425,0.868875,0.762625,0.62075,0.665875,0.5655,0.836875,0.568875,0.96,0.52275,0.840875,0.574875,0.50875,0.849875,0.935,0.98425,0.836375,0.64475,0.611875,0.61925,0.670875,0.85625,0.863625,0.758125,0.85475,0.65825,0.531,0.622375,0.6995,0.857375,0.56475,0.83575,0.0
1,0.462375,0.71275,0.806125,0.865,0.7285,0.690875,0.54675,0.52,0.69325,0.788875,0.826,0.797375,0.61725,0.1885,0.2585,0.486875,0.934375,0.9795,0.96225,0.732375,0.60325,0.51325,0.665125,0.747125,0.870625,0.915125,0.889,0.630625,0.607375,0.484625,0.603375,0.625,0.827875,0.7515,0.734125,0.739375,0.5785,0.5085,0.66325,0.916375,0.927875,0.865125,0.861375,0.56875,0.5275,0.5825,0.65975,0.82775,0.871875,0.817625,0.86725,0.6115,0.583,0.6275,0.701875,0.677375,0.942125,0.396,0.861,0.724625,0.16775,0.695625,0.899,0.992625,0.932375,0.849625,0.618875,0.544125,0.548625,0.722,0.73225,0.851875,0.876,0.64625,0.597125,0.572,0.512125,0.642875,0.68975,0.867,0.428125,0.840625,0.458875,0.18,0.3175,0.935,0.9755,1.00125,0.7765,0.60375,0.590125,0.510875,0.767,0.89975,0.941375,0.89225,0.67775,0.61475,0.525625,0.579625,0.7235,0.85225,0.90125,0.553125,0.25625,0.38225,0.377,0.868375,0.953625,1.045125,0.940875,0.779875,0.5495,0.589,0.62175,0.62175,0.683125,0.936125,0.840375,0.863375,0.74575,0.673625,0.6525,0.626375,0.92275,0.648625,0.86125,0.7675,0.5425,0.51875,0.52175,0.76825,0.926125,0.923125,0.87075,0.672,0.52725,0.658875,0.68425,0.8625,0.92275,0.92325,0.8415,0.6695,0.721875,0.695,0.5135,0.692625,0.7635,0.740125,0.621375,0.68075,0.3725,0.484875,0.88775,1.012,0.982875,0.85625,0.629,0.5475,0.6335,0.768625,0.822125,0.92375,0.93425,0.868875,0.762625,0.62075,0.665875,0.5655,0.836875,0.568875,0.96,0.52275,0.840875,0.574875,0.50875,0.849875,0.935,0.98425,0.836375,0.64475,0.611875,0.61925,0.670875,0.85625,0.863625,0.758125,0.85475,0.65825,0.531,0.622375,0.6995,0.857375,0.56475,0.83575,0.000125
2,0.511,0.493875,0.547,0.65525,0.3845,0.430625,0.343125,0.506,0.40125,0.722,0.127125,0.73875,0.857375,0.749,0.7585,0.77475,0.2475,0.8835,0.646875,0.686,0.6585,0.504625,0.54175,0.5355,0.560625,0.595,0.549,0.451875,0.42,0.57025,0.460875,0.527125,0.71675,0.610875,0.65025,0.602625,0.83775,0.212875,0.7475,0.806125,0.877,0.8245,0.849375,0.5745,0.610875,0.627875,0.636,0.534375,0.5985,0.516625,0.445375,0.475375,0.461125,0.64975,0.718375,0.835375,0.729375,0.745875,0.946375,0.565125,0.582625,0.805125,0.84275,0.90075,0.83875,0.686875,0.7525,0.583,0.474625,0.4925,0.553375,0.487125,0.585125,0.45775,0.464625,0.60375,0.5605,0.627125,0.737125,0.77825,0.88925,0.703,0.78275,0.693625,0.722375,0.874,0.882625,0.919625,0.89375,0.69125,0.663625,0.50125,0.531875,0.42275,0.514875,0.4255,0.638625,0.4525,0.411875,0.424625,0.70175,0.90775,0.855125,0.418125,0.792125,0.569125,0.306375,0.603875,0.682875,0.881375,0.830375,0.74725,0.709,0.62225,0.654875,0.615875,0.536,0.5435,0.421625,0.471625,0.44025,0.564,0.583125,0.428875,0.663125,0.560625,0.781,0.81,0.5525,0.735375,0.6615,0.97575,0.750875,0.838375,0.854375,0.709625,0.658875,0.678,0.61125,0.51025,0.63175,0.53925,0.508125,0.65375,0.6275,0.575375,0.73925,0.78525,0.646125,0.811875,0.75775,0.679,0.849875,0.740625,0.814375,0.751375,0.63075,0.868375,0.72475,0.627375,0.665125,0.62125,0.6795,0.736625,0.6065,0.573375,0.588375,0.5225,0.7475,0.68225,0.792875,0.641125,0.742125,0.367125,0.335125,0.548125,0.507625,0.8655,0.7485,0.840125,0.78225,0.75075,0.720625,0.697625,0.676625,0.6265,0.611125,0.586875,0.48225,0.493375,0.40575,0.3815,0.582375,0.57025,0.607125,0.302,0.00025
3,0.518,0.70175,0.788125,0.8805,0.713625,0.653625,0.544,0.572375,0.762,0.91375,0.8835,0.281875,0.698875,0.449625,0.324875,0.682375,1.0865,1.063125,0.991125,0.67,0.432375,0.50775,0.6405,0.688875,0.8795,0.940875,0.908875,0.635375,0.55675,0.483375,0.57275,0.794625,0.943625,0.827125,0.823,0.574125,0.439625,0.30225,1.0265,1.01375,1.057,0.988625,0.79475,0.431625,0.51475,0.6035,0.762125,0.907375,0.909625,0.868875,0.7475,0.575625,0.541,0.726375,0.833625,0.769125,0.685625,0.8095,0.884875,0.483625,0.198375,0.8585,1.03525,1.07225,0.97775,0.75025,0.51375,0.43575,0.542625,0.721875,0.91525,0.934125,0.845,0.594125,0.614875,0.498125,0.525375,0.76875,0.809,1.0165,0.738875,0.268125,0.35025,0.483625,0.526875,1.0915,1.059875,1.010125,0.6475,0.4325,0.455375,0.496875,0.74875,0.846875,0.8925,0.776,0.674875,0.5865,0.544,0.779875,0.93025,0.919875,0.947875,0.212875,0.659375,0.209625,0.431,0.966625,0.961125,1.0635,1.042625,0.726875,0.491875,0.566125,0.7325,0.7325,0.707125,0.88875,0.777,0.879875,0.799,0.722875,0.71475,0.718875,0.76825,0.637875,0.83475,0.88,0.3695,0.3015,0.642875,1.091875,1.065,0.943125,0.905875,0.4865,0.503,0.73975,0.73975,0.800625,0.808,0.76575,0.805,0.72675,0.73125,0.796125,0.5825,0.853625,0.82525,0.799,0.355125,0.180125,0.56725,0.80275,1.06775,1.092,1.022125,0.823875,0.53975,0.594375,0.664125,0.80875,0.888625,0.901,0.872375,0.873625,0.73725,0.711625,0.78675,0.9015,0.89875,0.374875,0.442125,0.254125,0.63125,0.31775,1.007625,1.07575,0.857375,0.947,0.655,0.5555,0.607625,0.639125,0.718375,0.77025,0.842625,0.785625,0.8415,0.75575,0.624625,0.707125,0.757375,0.976625,0.501,0.99075,0.000375
4,0.518,0.70175,0.788125,0.8805,0.713625,0.653625,0.544,0.572375,0.762,0.91375,0.8835,0.281875,0.698875,0.449625,0.324875,0.682375,1.0865,1.063125,0.991125,0.67,0.432375,0.50775,0.6405,0.688875,0.8795,0.940875,0.908875,0.635375,0.55675,0.483375,0.57275,0.794625,0.943625,0.827125,0.823,0.574125,0.439625,0.30225,1.0265,1.01375,1.057,0.988625,0.79475,0.431625,0.51475,0.6035,0.762125,0.907375,0.909625,0.868875,0.7475,0.575625,0.541,0.726375,0.833625,0.769125,0.685625,0.8095,0.884875,0.483625,0.198375,0.8585,1.03525,1.07225,0.97775,0.75025,0.51375,0.43575,0.542625,0.721875,0.91525,0.934125,0.845,0.594125,0.614875,0.498125,0.525375,0.76875,0.809,1.0165,0.738875,0.268125,0.35025,0.483625,0.526875,1.0915,1.059875,1.010125,0.6475,0.4325,0.455375,0.496875,0.74875,0.846875,0.8925,0.776,0.674875,0.5865,0.544,0.779875,0.93025,0.919875,0.947875,0.212875,0.659375,0.209625,0.431,0.966625,0.961125,1.0635,1.042625,0.726875,0.491875,0.566125,0.7325,0.7325,0.707125,0.88875,0.777,0.879875,0.799,0.722875,0.71475,0.718875,0.76825,0.637875,0.83475,0.88,0.3695,0.3015,0.642875,1.091875,1.065,0.943125,0.905875,0.4865,0.503,0.73975,0.73975,0.800625,0.808,0.76575,0.805,0.72675,0.73125,0.796125,0.5825,0.853625,0.82525,0.799,0.355125,0.180125,0.56725,0.80275,1.06775,1.092,1.022125,0.823875,0.53975,0.594375,0.664125,0.80875,0.888625,0.901,0.872375,0.873625,0.73725,0.711625,0.78675,0.9015,0.89875,0.374875,0.442125,0.254125,0.63125,0.31775,1.007625,1.07575,0.857375,0.947,0.655,0.5555,0.607625,0.639125,0.718375,0.77025,0.842625,0.785625,0.8415,0.75575,0.624625,0.707125,0.757375,0.976625,0.501,0.99075,0.0005
5,0.433375,0.6935,0.82725,0.824,0.758875,0.536125,0.538125,0.50975,0.5905,0.489125,0.4495,0.70375,0.941125,0.90475,0.835375,0.612875,0.434625,0.94625,0.92375,0.805875,0.619125,0.58125,0.542625,0.671,0.824125,0.93425,0.936625,0.664625,0.597875,0.46175,0.419375,0.472125,0.58725,0.620875,0.29525,0.983875,0.471875,0.216375,0.4905,0.942375,1.045375,1.01625,0.980625,0.536125,0.492,0.524875,0.807,0.84875,0.808,0.861,0.83075,0.52325,0.60225,0.569375,0.627375,0.557875,0.036125,0.641625,0.647375,0.152375,0.472375,0.718375,0.72925,0.82675,0.981375,0.797375,0.6775,0.464875,0.48825,0.6,0.852125,0.787,0.80325,0.67525,0.60725,0.586375,0.566125,0.582625,0.625,0.61,0.74,0.68975,0.62425,0.166,0.4,0.9305,0.97775,1.052625,0.708875,0.467125,0.555625,0.4255,0.783875,0.89325,0.946875,0.91525,0.683125,0.63775,0.52675,0.659375,0.719375,0.397375,0.765125,0.394,0.858,0.14975,0.335375,0.38175,0.59275,1.11525,0.96825,0.905,0.482,0.461625,0.621,0.48425,0.53225,0.78075,0.909125,0.757375,0.721875,0.7185,0.653875,0.53975,0.106875,0.3645,0.298875,0.988625,0.1345,0.29825,0.557875,0.867875,0.851625,0.88275,1.057625,0.586125,0.520875,0.703625,0.60175,0.8815,0.895625,0.981375,0.711125,0.6965,0.621,0.6235,0.637375,0.69475,0.658375,0.748625,0.736875,0.44125,0.599875,0.91425,0.889875,1.091625,0.799,0.718,0.555125,0.5545,0.5865,0.864625,0.9705,0.93025,0.846375,0.788875,0.706875,0.586625,0.76,0.55525,0.586125,0.25875,0.955875,0.475125,0.3635,0.757,0.4465,0.883875,0.965,0.9315,0.745875,0.5635,0.508,0.764875,0.764875,0.7085,0.91825,0.623875,0.66675,0.509,0.42875,0.5855,0.7405,0.705625,0.5425,0.398375,0.000625
6,0.5685,0.696875,0.914,0.8725,0.699625,0.600125,0.48475,0.553,0.744375,0.836625,0.94175,0.55925,0.766,0.55375,0.24775,0.7475,1.0335,1.014375,1.067625,0.721625,0.44225,0.497625,0.632125,0.714125,0.837875,0.971125,0.937125,0.6895,0.61075,0.55575,0.592625,0.7465,0.850875,0.882375,0.7285,0.8365,0.8705,0.646,0.713375,1.093375,1.05225,0.994,0.82175,0.427125,0.536625,0.54075,0.68825,0.749125,0.964875,0.821875,0.724,0.5775,0.55825,0.6905,0.81025,0.789125,0.6525,0.492,0.695,0.63925,0.701875,0.8955,1.06925,1.0595,0.955375,0.683625,0.558,0.48125,0.59925,0.672875,0.933375,0.827625,0.74075,0.592125,0.57525,0.65425,0.57075,0.764,0.834375,0.96075,0.275375,0.516875,0.875,0.47225,,0.943,1.04825,0.9295,0.674125,0.466,0.40575,0.491875,0.834875,0.88325,0.948,0.862,0.623625,0.583375,0.500125,0.792,0.91725,0.91175,0.912375,0.275625,0.80675,0.477875,0.26925,1.077,1.151625,1.072875,1.075125,0.73325,0.404375,0.54425,0.764875,0.764875,0.829,0.95575,0.82175,0.76,0.643625,0.762875,0.735,0.5115,0.86725,0.82225,0.857,0.532625,0.32375,0.55325,0.606125,1.09275,1.089875,0.978625,0.8435,0.413375,0.495125,0.742625,0.829625,0.95125,0.901125,0.797375,0.821625,0.702625,0.7535,0.804375,0.785875,0.8285,1.024,0.67325,0.898125,0.968625,0.692875,0.71425,1.11625,1.113875,1.007625,0.981625,0.49925,0.452625,0.666125,0.82125,0.92775,1.011625,0.935375,0.908625,0.71225,0.5705,0.74675,0.872125,0.9565,0.442,0.694375,0.3115,0.307625,0.27725,0.975125,1.06525,1.01325,0.93825,0.736,0.48425,0.5795,0.595625,0.6805,0.793,0.836125,0.837625,0.850125,0.7055,0.633375,0.616,0.73925,0.9075,0.29325,1.004875,0.00075
7,0.507375,0.65325,0.829375,0.813,0.603375,0.574,0.48475,0.49325,0.62425,0.872625,0.873125,0.59125,0.792875,0.51075,0.24775,0.808625,1.051375,1.076,1.04025,0.612125,0.44225,0.5195,0.587125,0.655875,0.837875,0.87075,0.865,0.58225,0.52025,0.469125,0.501625,0.711875,0.850875,0.7605,0.7285,0.8735,0.8705,0.64275,0.713375,1.074,1.03675,0.977125,0.78525,0.418625,0.514375,0.541875,0.693125,0.777875,0.77275,0.821875,0.686875,0.5425,0.51075,0.71825,0.8325,0.813875,0.849,0.493875,0.829125,0.63925,0.609125,0.918375,1.03,1.0475,0.955375,0.683625,0.51825,0.45775,0.5375,0.662625,0.933375,0.845125,0.65375,0.471375,0.50625,0.51025,0.59725,0.804125,0.832625,0.96075,0.265,0.604875,0.88525,0.49575,,1.099,1.049375,0.991625,0.704,0.5785,0.48,0.44075,0.78925,0.8365,0.82825,0.80025,0.623625,0.55425,0.511875,0.814,0.90375,0.91175,0.92225,0.261,0.8065,0.49,0.365375,1.0715,1.151625,1.07325,1.0605,0.782375,0.380625,0.511375,0.67975,0.67975,0.76675,0.9185,0.789125,0.679125,0.643625,0.7355,0.767875,0.683875,0.71125,0.7595,0.9395,0.35075,0.244375,0.40075,0.606125,1.09275,1.021375,0.982125,0.84825,0.4445,0.495125,0.709,0.772625,0.8055,0.901125,0.82425,0.8225,0.711,0.7255,0.804375,0.75625,0.829625,1.03525,0.34125,0.790625,0.972875,0.692875,0.688,1.071875,1.113125,1.007625,0.965625,0.488375,0.435875,0.649125,0.80375,0.894125,0.97975,0.840375,0.908625,0.713375,0.5685,0.74675,0.89475,0.947625,0.442,0.720125,0.3115,0.317875,0.37125,0.975125,1.06525,1.012,0.92025,0.639,0.48425,0.5795,0.648875,0.686125,0.825125,0.864125,0.837625,0.804125,0.625,0.56125,0.62675,0.73925,0.91275,0.67375,0.979625,0.000875
8,0.48575,0.627875,0.810375,0.942125,0.66225,0.59975,0.562375,0.520125,0.653375,0.925,0.925125,0.59125,0.579375,0.198,0.22925,0.7455,1.116375,1.0965,1.074125,0.70225,0.380125,0.475875,0.592375,0.73325,0.893125,0.961125,0.913875,0.642125,0.611625,0.50625,0.527375,0.711875,0.90525,0.862375,0.61425,0.82825,0.8775,0.491375,0.878375,1.074,1.11675,1.018125,0.84675,0.418625,0.4895,0.454375,0.743,0.8565,0.897375,0.821875,0.772,0.615375,0.59425,0.735625,0.838625,0.789125,0.6525,0.492,0.673375,0.49425,0.6635,0.918375,1.03175,1.092125,0.967875,0.648875,0.44975,0.378625,0.580625,0.7705,0.931375,0.9625,0.757,0.553375,0.525875,0.55625,0.59725,0.759125,0.832625,0.987125,0.257,0.532875,0.88525,0.34025,,1.088375,1.035875,1.007875,0.6405,0.472,0.40575,0.4975,0.766,0.910125,0.948,0.785875,0.63125,0.60075,0.567125,0.804375,0.941875,0.973125,0.931,0.275625,0.8065,0.3705,0.599625,1.08875,1.171375,1.136,1.067125,0.73325,0.378875,0.56425,0.69225,0.72275,0.798,0.938,0.823375,0.8325,0.717125,0.770125,0.74975,0.447875,0.894875,0.8245,1.015625,0.66975,0.179875,0.395875,0.585,1.083125,1.104875,0.982125,0.84825,0.39275,0.45625,0.800375,0.800375,0.95125,0.94425,0.890625,0.787375,0.6585,0.68775,0.78075,0.8015,0.89575,1.035,0.253,0.689625,0.89025,0.696875,0.80875,1.09225,1.105625,0.9585,0.975125,0.449,0.40175,0.65525,0.82675,0.906125,0.98375,0.935375,0.908625,0.65875,0.660875,0.74675,0.909125,0.96175,0.42625,0.720125,0.231,0.25275,0.33025,1.051,1.10675,1.04,0.930125,0.68275,0.4125,0.544875,0.588,0.58675,0.825125,0.808875,0.88175,0.88925,0.734,0.641625,0.66825,0.722375,0.97125,0.719875,1.022,0.001
9,0.43975,0.598375,0.697125,0.725,0.75675,0.67025,0.601,0.531125,0.628875,0.82525,0.838,0.941,0.4,0.588375,0.203375,0.7015,1.1025,1.081375,0.95875,0.83275,0.48125,0.590125,0.624,0.593375,0.7105,0.80475,0.825625,0.836625,0.766375,0.677625,0.638625,0.6495,0.829875,0.75875,0.743875,0.85875,0.796125,0.304125,1.0805,0.91175,1.047875,0.895625,0.862625,0.579375,0.574125,0.43825,0.57375,0.607375,0.718125,0.86325,0.820375,0.678875,0.747625,0.568,0.642375,0.7465,0.41925,0.695125,0.79025,0.778875,0.498,0.919875,0.928625,1.0645,0.89775,0.6995,0.544125,0.48125,0.578625,0.5995,0.7245,0.725875,0.871,0.764125,0.86275,0.684,0.5,0.557375,0.72625,0.661,0.5645,0.200625,0.66125,0.35725,0.588375,0.424,1.017,1.056625,0.639125,0.553625,0.611375,0.502875,0.739875,0.743375,0.84675,0.76225,0.77675,0.718375,0.601,0.706625,0.789625,0.892875,0.89275,0.594875,0.795375,0.559625,0.299875,0.934375,0.779875,1.029625,1.019375,0.811875,0.6185,0.60375,0.636875,0.636875,0.569375,0.802,0.786,0.932375,0.82075,0.780125,0.65775,0.633875,0.953125,0.690875,0.794125,0.88,0.173,0.834875,0.738125,1.038,1.030125,0.979875,0.7145,0.617625,0.500875,0.656,0.61825,0.73425,0.76675,0.77775,0.814625,0.782125,0.789375,0.7705,0.568625,0.795875,0.85275,0.3235,0.835625,0.94025,0.373,0.547875,1.026625,1.050875,0.9945,0.836125,0.54125,0.57675,0.57125,0.66375,0.72725,0.800375,0.81875,0.87325,0.787875,0.70675,0.733375,0.7795,0.8195,0.316375,0.65575,0.287,0.588625,0.5125,1.034125,1.065625,1.0005,0.925125,0.69625,0.475125,0.578875,0.508625,0.538625,0.741125,0.759,0.889125,0.86,0.726,0.5745,0.680375,0.698875,0.878,0.59375,0.9495,0.001125
